"0","tamaramorrison@hotmail.com","Gary","Cross","711 Golden Overpass
West Andreaville, OH 44115","scrypt:32768:8:1$18L8uOUavn4GMxhZ$ba0e6a3512cac7c4a154ac3133c6bc55b0f98639d09252998470d84974436942db0cc707d081b80e277a1605b92560a20cf1194d6494ea0676509cde04b0963b","453.63"
"1","stephenschristine@yahoo.com","Madison","Obrien","Unit 0903 Box 2173
DPO AP 08507","scrypt:32768:8:1$ZSA42pgGPeWeMR48$46c919743bfc2b9257facd9d3e522fd119d17c2cc382df91886668d0ab584659364af05daba861127c99c0ce64fa685f7bcd425b754babc941189ba07349f699","569.9"
"2","hensontroy@yahoo.com","Ronald","Miller","9606 Barton Station Apt. 271
Jacquelinemouth, NC 64367","scrypt:32768:8:1$Ve8O0tmzNxdflvAY$0679d581c18d735d05c136aeede8540f8ceafb79b3c2de20b3e42bbe082b055bcf04e2653c5d6c1352892f9611d39b07488138d15534c1d54e289a6f78bbcf2b","402.91"
"3","kimberly00@yahoo.com","Melanie","Grant","658 Jared Radial Suite 022
Mathewstad, VT 12783","scrypt:32768:8:1$lps3TuNAu5T6wsYA$73b4a8cc0a75df0703d12da47da5da3f1adb562fb83b617e4d67c2b4e40937e0d2c189be4f2ce8af5e327baf8eb3557e003b8ea0b45e22adbb41af1df4abdee3","236.67"
"4","ryanhoward@gmail.com","Jaime","Villegas","0168 West Overpass
South Christopher, IN 34699","scrypt:32768:8:1$SxraCskN96lVBdyG$2f41bd3f41a0f085e8eb6cc30d433c23730d2c300e63a2e226a981e3d32c3f81d13f71dd19933d4b8cec290f12fd55a1397a38f97c3d688534d22040e06fab42","250.96"
"5","melissayates@hotmail.com","Amanda","Smith","8688 Audrey Springs Apt. 634
Petersenfort, PR 51431","scrypt:32768:8:1$KbyvHxr0gsoHjYd7$33d38616e008a33bb4394d1259444d7e4e94a6cd3821c57ea9c4382a2a325b14c9c4d0d63984d26984e7bc0f68996c4d60408179d2ec371de54dfd176e00e828","167.26"
"6","vmendez@hotmail.com","John","Ellis","518 Lee Tunnel
Rodriguezton, RI 92358","scrypt:32768:8:1$eAc9oJpcONX3dQ5J$e741e500881c9e63442834590fd54374648461f269e87517e32e395d5f9e67bee54dfd04e3c530c0017915aa87f4a759c7a9d5a4396be37b4ccbfae76d0356a0","995.42"
"7","aaronhopkins@hotmail.com","Amanda","Griffin","1150 Bailey Branch
Port Michael, PA 19282","scrypt:32768:8:1$VV0T37EHNdFt8684$f41edf471217f6b14646ab0aee3e40e33139de846cb1f2fb9b0d01acd3bfdae88becda7a105296cd5a384c86e74d1979e72df0f9988230163c7dfd27ecd3d005","544.04"
"8","bennettalan@hotmail.com","David","White","12648 Yang Divide Suite 451
South Cynthia, SC 69865","scrypt:32768:8:1$4ddyFQ04zxHJVnTV$d1fa050be78157a3afc99924997d360d51e7eebc7e143b83af44b1b8a6a74b05e5970caa616ed83659702141b0e6de0664252437af7d0bd6cc6f8309f0652800","253.64"
"9","april98@hotmail.com","Kelly","Perkins","391 Chad Greens Suite 851
Port Frank, MT 38471","scrypt:32768:8:1$yHPcWz6ihEWeLuy0$89a5d7162848c01457e59f6e413459d63980f93d4896fefa47ae04f8b15fead24c53d121a74bde0e8ee7ee12ba0b1df29126b8d8bd621d4b0beccb074126b49f","455.88"
